id,first_name,last_name,date_of_birth,area_city
0,"Aaron","Aaronson","08/17/2011",5
1,"Alice","Smith","01/01/2010",1
2,"Bob","Johnson","02/14/2009",8
3,"Charlie","Williams","03/03/2008",2
4,"David","Brown","04/22/2007",6
5,"Eve","Jones","05/15/2012",8
6,"Frank","Garcia","06/20/2011",9
7,"Grace","Miller","07/07/2006",6
8,"Hannah","Davis","08/08/2005",0
9,"Ivy","Martinez","09/09/2013",1
10,"Jack","Taylor","10/10/2004",5
11,"Kevin","Thomas","11/11/2010",2
12,"Liam","Moore","12/12/2009",3
13,"Mia","Anderson","01/13/2012",5
14,"Nina","Jackson","02/14/2008",6
15,"Oscar","White","03/15/2006",4
16,"Paul","Harris","04/16/2005",6
17,"Quinn","Martin","05/17/2004",0
18,"Ruby","Thompson","06/18/2013",3
19,"Sara","Garcia","07/19/2012",3
20,"Tom","Martinez","08/20/2011",5
21,"Uma","Robinson","09/21/2010",8
22,"Vera","Clark","10/22/2009",9
23,"Will","Rodriguez","11/23/2008",9
24,"Xander","Lewis","12/24/2007",1
25,"Yara","Lee","01/25/2006",1
26,"Zane","Walker","02/26/2005",4
27,"Ava","Hall","03/27/2014",3
28,"Ben","Allen","04/28/2013",2
29,"Cara","Young","05/29/2012",7
30,"Drew","King","06/30/2011",9
31,"Ella","Wright","07/31/2010",2
32,"Finn","Scott","08/01/2009",1
33,"Gina","Green","09/02/2008",0
34,"Hugo","Adams","10/03/2007",7
35,"Iris","Baker","11/04/2006",1
36,"Jake","Gonzalez","12/05/2005",8
37,"Kara","Nelson","01/06/2014",9
38,"Luca","Carter","02/07/2013",2
39,"Maya","Mitchell","03/08/2012",5
40,"Noah","Perez","04/09/2011",8
41,"Olive","Roberts","05/10/2010",7
42,"Piper","Turner","06/11/2009",7
43,"Quincy","Phillips","07/12/2008",4
44,"Rosa","Campbell","08/13/2007",1
45,"Sam","Parker","09/14/2006",1
46,"Tina","Evans","10/15/2005",0
47,"Ulysses","Edwards","11/16/2014",3
48,"Violet","Collins","12/17/2013",2
49,"Wes","Stewart","01/18/2012",0
